0,1,2
0,2.8125,525.1640014648438
1,8.4375,505.44927978515625
2,14.0625,543.9141845703125
3,19.6875,667.9888916015625
4,25.3125,878.307373046875
5,30.9375,1134.0950927734375
6,36.5625,1374.678955078125
7,42.1875,1563.82177734375
8,47.8125,1704.1641845703125
9,53.4375,1814.6328125
10,59.0625,1903.644287109375
11,64.6875,1956.683349609375
12,70.3125,1932.7786865234375
13,75.9375,1780.1695556640625
14,81.5625,1486.911376953125
15,87.1875,1117.5499267578125
16,92.8125,783.270263671875
17,98.4375,563.7202758789062
18,104.0625,458.61676025390625
19,109.6875,425.6286926269531
20,115.3125,437.4275207519531
21,120.9375,495.2125244140625
22,126.5625,612.0995483398438
23,132.1875,788.6666870117188
24,137.8125,995.4976196289062
25,143.4375,1176.2110595703125
26,149.0625,1280.2984619140625
27,154.6875,1302.01513671875
28,160.3125,1276.9605712890625
29,165.9375,1248.280029296875
30,171.5625,1246.473388671875
31,177.1875,1290.9434814453125
32,182.8125,1397.4412841796875
33,188.4375,1569.0460205078125
34,194.0625,1764.6990966796875
35,199.6875,1890.7840576171875
36,205.3125,1859.86181640625
37,210.9375,1663.48876953125
38,216.5625,1387.5882568359375
39,222.1875,1152.3912353515625
40,227.8125,1019.6786499023438
41,233.4375,970.7391357421875
42,239.0625,956.8583374023438
43,244.6875,939.6287231445312
44,250.3125,900.0209350585938
45,255.9375,838.7593383789062
46,261.5625,772.200439453125
47,267.1875,715.75830078125
48,272.8125,673.10400390625
49,278.4375,641.663330078125
50,284.0625,619.1268920898438
51,289.6875,604.3086547851562
52,295.3125,596.4720458984375
53,300.9375,595.3038940429688
54,306.5625,600.8328247070312
55,312.1875,613.083251953125
56,317.8125,631.7611083984375
57,323.4375,655.267822265625
58,329.0625,678.861328125
59,334.6875,693.8661499023438
60,340.3125,690.3551025390625
61,345.9375,664.1657104492188
62,351.5625,621.1239624023438
63,357.1875,570.9539794921875
