0,1,2
0,2.8125,1159.4981689453125
1,8.4375,1171.864013671875
2,14.0625,1171.827392578125
3,19.6875,1155.90185546875
4,25.3125,1128.654296875
5,30.9375,1100.2366943359375
6,36.5625,1079.2208251953125
7,42.1875,1068.838134765625
8,47.8125,1069.1497802734375
9,53.4375,1080.4677734375
10,59.0625,1103.9698486328125
11,64.6875,1139.7340087890625
12,70.3125,1185.9527587890625
13,75.9375,1240.889404296875
14,81.5625,1303.008544921875
15,87.1875,1368.177978515625
16,92.8125,1427.8046875
17,98.4375,1468.354248046875
18,104.0625,1473.904296875
19,109.6875,1437.8369140625
20,115.3125,1377.1903076171875
21,120.9375,1326.877685546875
22,126.5625,1311.58154296875
23,132.1875,1326.62939453125
24,137.8125,1349.920654296875
25,143.4375,1367.5966796875
26,149.0625,1374.00341796875
27,154.6875,1349.853759765625
28,160.3125,1263.6727294921875
29,165.9375,1104.6142578125
30,171.5625,906.2239379882812
31,177.1875,735.5623779296875
32,182.8125,661.8840942382812
33,188.4375,711.2526245117188
34,194.0625,848.9230346679688
35,199.6875,1017.7540893554688
36,205.3125,1164.0103759765625
37,210.9375,1241.0919189453125
38,216.5625,1233.736083984375
39,222.1875,1188.263916015625
40,227.8125,1188.6046142578125
41,233.4375,1270.112060546875
42,239.0625,1380.086669921875
43,244.6875,1442.4451904296875
44,250.3125,1424.7105712890625
45,255.9375,1339.5306396484375
46,261.5625,1209.9661865234375
47,267.1875,1047.1982421875
48,272.8125,866.534423828125
49,278.4375,699.0015869140625
50,284.0625,562.3155517578125
51,289.6875,449.84588623046875
52,295.3125,357.1983337402344
53,300.9375,294.23187255859375
54,306.5625,272.43353271484375
55,312.1875,298.5389404296875
56,317.8125,377.97796630859375
57,323.4375,510.3729553222656
58,329.0625,678.981201171875
59,334.6875,848.8639526367188
60,340.3125,983.7650146484375
61,345.9375,1069.1015625
62,351.5625,1115.00927734375
63,357.1875,1140.8209228515625
