time:1155006367, acc_x:00000.00, acc_y:00000.00, acc_z:01022.46
time:1155013813, acc_x:-00013.67, acc_y:00013.67, acc_z:01008.79
time:1155021355, acc_x:-00000.98, acc_y:00017.58, acc_z:01019.53
time:1155028896, acc_x:-00003.91, acc_y:00008.30, acc_z:01025.39
time:1155036442, acc_x:00000.98, acc_y:00008.30, acc_z:01021.48
time:1155043907, acc_x:-00003.42, acc_y:-00003.91, acc_z:01026.86
time:1155051541, acc_x:-00008.30, acc_y:00007.81, acc_z:01029.30
time:1155059079, acc_x:-00005.37, acc_y:00007.32, acc_z:01014.65
time:1155066627, acc_x:-00010.74, acc_y:00004.88, acc_z:01020.02
time:1155074168, acc_x:00006.35, acc_y:00014.16, acc_z:01023.93
time:1155081627, acc_x:-00009.28, acc_y:00005.37, acc_z:01027.83
time:1155089170, acc_x:-00008.79, acc_y:00016.60, acc_z:01007.32
time:1155096712, acc_x:-00011.72, acc_y:00010.74, acc_z:01005.86
time:1155104262, acc_x:-00027.83, acc_y:00007.81, acc_z:01022.95
time:1155111809, acc_x:-00001.95, acc_y:00006.84, acc_z:01021.97
time:1155119356, acc_x:-00009.28, acc_y:00004.88, acc_z:01021.48
time:1155126905, acc_x:-00004.88, acc_y:00008.79, acc_z:01018.07
time:1155134454, acc_x:-00003.42, acc_y:00018.55, acc_z:01020.02
time:1155141999, acc_x:-00006.84, acc_y:-00001.46, acc_z:01010.25
time:1155149635, acc_x:-00000.98, acc_y:00001.95, acc_z:01021.48
time:1155157178, acc_x:00002.44, acc_y:00001.46, acc_z:01013.18
time:1155164639, acc_x:-00003.91, acc_y:00006.35, acc_z:01008.79
time:1155172178, acc_x:00003.42, acc_y:-00007.81, acc_z:01031.74
time:1155179723, acc_x:-00007.32, acc_y:00004.39, acc_z:01005.37
time:1155187258, acc_x:-00035.64, acc_y:00009.28, acc_z:01035.16
time:1155194814, acc_x:-00012.70, acc_y:00022.95, acc_z:01021.48
time:1155202358, acc_x:-00008.30, acc_y:00010.25, acc_z:01024.90
time:1155209903, acc_x:-00010.74, acc_y:00008.30, acc_z:01010.74
time:1155217449, acc_x:-00014.65, acc_y:00010.25, acc_z:01029.30
time:1155224992, acc_x:-00013.67, acc_y:00012.70, acc_z:01023.93
time:1155232536, acc_x:-00019.53, acc_y:00033.20, acc_z:01030.27
time:1155240078, acc_x:-00040.04, acc_y:00020.51, acc_z:01020.51
time:1155247627, acc_x:-00001.46, acc_y:00000.98, acc_z:01036.13
time:1155255172, acc_x:-00003.42, acc_y:00007.32, acc_z:01006.84
time:1155262711, acc_x:-00008.30, acc_y:00001.46, acc_z:01026.37
time:1155270261, acc_x:-00002.44, acc_y:00004.39, acc_z:01032.23
time:1155277816, acc_x:-00003.42, acc_y:00020.02, acc_z:01033.69
time:1155285361, acc_x:-00005.37, acc_y:00016.60, acc_z:01025.88
