time:9292270, acc_x:21.64, acc_y:-59.88, acc_z:970.93, raw_acc_x:1.95, raw_acc_y:-175.29, raw_acc_z:616.70
time:9303465, acc_x:7.65, acc_y:-29.44, acc_z:871.57, raw_acc_x:-48.34, raw_acc_y:92.29, raw_acc_z:474.12
time:9314573, acc_x:-34.02, acc_y:22.83, acc_z:890.32, raw_acc_x:-200.68, raw_acc_y:231.93, raw_acc_z:965.33
time:9325943, acc_x:-53.78, acc_y:30.67, acc_z:937.35, raw_acc_x:-132.81, raw_acc_y:62.01, raw_acc_z:1125.49
time:9337309, acc_x:-68.71, acc_y:36.94, acc_z:955.55, raw_acc_x:-128.42, raw_acc_y:62.01, raw_acc_z:1028.32
time:9348679, acc_x:-63.95, acc_y:47.71, acc_z:960.92, raw_acc_x:-44.92, raw_acc_y:90.82, raw_acc_z:982.42
time:9359877, acc_x:-51.84, acc_y:27.62, acc_z:960.14, raw_acc_x:-3.42, raw_acc_y:-52.73, raw_acc_z:957.03
time:9371072, acc_x:-34.74, acc_y:17.41, acc_z:966.06, raw_acc_x:33.69, raw_acc_y:-23.44, raw_acc_z:989.75
time:9382267, acc_x:-25.35, acc_y:8.56, acc_z:979.49, raw_acc_x:12.21, raw_acc_y:-26.86, raw_acc_z:1033.20
time:9393464, acc_x:-13.54, acc_y:0.01, acc_z:984.08, raw_acc_x:33.69, raw_acc_y:-34.18, raw_acc_z:1002.44
time:9404655, acc_x:-6.93, acc_y:-13.27, acc_z:983.26, raw_acc_x:19.53, raw_acc_y:-66.41, raw_acc_z:979.98
time:9415853, acc_x:-9.74, acc_y:-18.72, acc_z:988.86, raw_acc_x:-21.00, raw_acc_y:-40.53, raw_acc_z:1011.23
time:9427215, acc_x:-5.64, acc_y:-11.85, acc_z:994.01, raw_acc_x:10.74, raw_acc_y:15.63, raw_acc_z:1014.65
time:9438401, acc_x:-7.54, acc_y:-14.56, acc_z:1003.02, raw_acc_x:-15.14, raw_acc_y:-25.39, raw_acc_z:1039.06
time:9449858, acc_x:-1.64, acc_y:-22.10, acc_z:1009.16, raw_acc_x:21.97, raw_acc_y:-52.25, raw_acc_z:1033.69
time:9461221, acc_x:12.65, acc_y:-28.62, acc_z:1013.77, raw_acc_x:69.82, raw_acc_y:-54.69, raw_acc_z:1032.23
time:9472584, acc_x:13.44, acc_y:-40.57, acc_z:1022.83, raw_acc_x:16.60, raw_acc_y:-88.38, raw_acc_z:1059.08
time:9483953, acc_x:21.69, acc_y:-41.05, acc_z:1022.56, raw_acc_x:54.69, raw_acc_y:-42.97, raw_acc_z:1021.48
time:9495314, acc_x:23.70, acc_y:-36.06, acc_z:1023.91, raw_acc_x:31.74, raw_acc_y:-16.11, raw_acc_z:1029.30
time:9506684, acc_x:30.58, acc_y:-41.64, acc_z:1025.87, raw_acc_x:58.11, raw_acc_y:-63.96, raw_acc_z:1033.69
time:9518052, acc_x:25.44, acc_y:-43.76, acc_z:1026.94, raw_acc_x:4.88, raw_acc_y:-52.25, raw_acc_z:1031.25
time:9529334, acc_x:27.97, acc_y:-38.33, acc_z:1033.08, raw_acc_x:38.09, raw_acc_y:-16.60, raw_acc_z:1057.62
time:9540699, acc_x:38.00, acc_y:-46.78, acc_z:1034.18, raw_acc_x:78.12, raw_acc_y:-80.57, raw_acc_z:1038.57
time:9552070, acc_x:44.66, acc_y:-53.44, acc_z:1029.78, raw_acc_x:71.29, raw_acc_y:-80.08, raw_acc_z:1012.21
time:9563438, acc_x:40.61, acc_y:-61.99, acc_z:1029.20, raw_acc_x:24.41, raw_acc_y:-96.19, raw_acc_z:1026.86
time:9574822, acc_x:33.95, acc_y:-60.63, acc_z:1003.83, raw_acc_x:7.32, raw_acc_y:-55.18, raw_acc_z:902.34
time:9586019, acc_x:37.90, acc_y:-72.13, acc_z:1033.92, raw_acc_x:53.71, raw_acc_y:-118.16, raw_acc_z:1154.30
time:9597477, acc_x:29.64, acc_y:-74.60, acc_z:1053.11, raw_acc_x:-3.42, raw_acc_y:-84.47, raw_acc_z:1129.88
time:9608846, acc_x:22.15, acc_y:-54.31, acc_z:1084.58, raw_acc_x:-7.81, raw_acc_y:26.86, raw_acc_z:1210.45
time:9620120, acc_x:96.04, acc_y:8.90, acc_z:1099.70, raw_acc_x:391.60, raw_acc_y:261.72, raw_acc_z:1160.16
time:9631400, acc_x:54.66, acc_y:23.13, acc_z:1045.87, raw_acc_x:-110.84, raw_acc_y:80.08, raw_acc_z:830.57
time:9642681, acc_x:60.04, acc_y:51.81, acc_z:1032.69, raw_acc_x:81.54, raw_acc_y:166.50, raw_acc_z:979.98
time:9653879, acc_x:0.38, acc_y:88.32, acc_z:1047.05, raw_acc_x:-238.28, raw_acc_y:234.37, raw_acc_z:1104.49
time:9665249, acc_x:-57.51, acc_y:119.00, acc_z:1045.84, raw_acc_x:-289.06, raw_acc_y:241.70, raw_acc_z:1041.02
time:9676879, acc_x:-87.71, acc_y:142.36, acc_z:1070.86, raw_acc_x:-208.50, raw_acc_y:235.84, raw_acc_z:1170.90
time:9688508, acc_x:-92.53, acc_y:107.45, acc_z:1047.99, raw_acc_x:-111.82, raw_acc_y:-32.23, raw_acc_z:956.54
time:9700051, acc_x:-84.38, acc_y:109.79, acc_z:1036.25, raw_acc_x:-51.76, raw_acc_y:119.14, raw_acc_z:989.26
time:9711505, acc_x:-77.27, acc_y:125.13, acc_z:1048.82, raw_acc_x:-48.83, raw_acc_y:186.52, raw_acc_z:1099.12
time:9723049, acc_x:-70.80, acc_y:117.68, acc_z:1034.17, raw_acc_x:-44.92, raw_acc_y:87.89, raw_acc_z:975.59
time:9734410, acc_x:-67.38, acc_y:110.65, acc_z:1041.40, raw_acc_x:-53.71, raw_acc_y:82.52, raw_acc_z:1070.31
time:9745867, acc_x:-50.97, acc_y:95.85, acc_z:1039.76, raw_acc_x:14.65, raw_acc_y:36.62, raw_acc_z:1033.20
time:9757154, acc_x:-43.22, acc_y:72.67, acc_z:1037.08, raw_acc_x:-12.21, raw_acc_y:-20.02, raw_acc_z:1026.37
time:9768603, acc_x:-29.11, acc_y:56.87, acc_z:1038.16, raw_acc_x:27.34, raw_acc_y:-6.35, raw_acc_z:1042.48
time:9779883, acc_x:-25.92, acc_y:40.90, acc_z:1032.87, raw_acc_x:-13.18, raw_acc_y:-22.95, raw_acc_z:1011.72
time:9791339, acc_x:-23.77, acc_y:37.70, acc_z:1026.40, raw_acc_x:-15.14, raw_acc_y:24.90, raw_acc_z:1000.49
time:9802707, acc_x:-21.84, acc_y:30.07, acc_z:1026.10, raw_acc_x:-14.16, raw_acc_y:-0.49, raw_acc_z:1024.90
time:9814060, acc_x:-20.70, acc_y:24.05, acc_z:1023.32, raw_acc_x:-16.11, raw_acc_y:0.00, raw_acc_z:1012.21
time:9825346, acc_x:-17.34, acc_y:20.12, acc_z:1023.83, raw_acc_x:-3.91, raw_acc_y:4.39, raw_acc_z:1025.88
time:9836542, acc_x:-16.41, acc_y:15.80, acc_z:1026.00, raw_acc_x:-12.70, raw_acc_y:-1.46, raw_acc_z:1034.67
time:9847910, acc_x:-15.47, acc_y:14.21, acc_z:1026.66, raw_acc_x:-11.72, raw_acc_y:7.81, raw_acc_z:1029.30
time:9859188, acc_x:-15.31, acc_y:14.20, acc_z:1025.82, raw_acc_x:-14.65, raw_acc_y:14.16, raw_acc_z:1022.46
time:9870557, acc_x:18.91, acc_y:-14.03, acc_z:966.94, raw_acc_x:155.76, raw_acc_y:-126.95, raw_acc_z:731.45
time:9881909, acc_x:3.70, acc_y:-20.70, acc_z:930.88, raw_acc_x:-57.13, raw_acc_y:-47.36, raw_acc_z:786.62
time:9893100, acc_x:-7.00, acc_y:-14.22, acc_z:991.77, raw_acc_x:-49.80, raw_acc_y:11.72, raw_acc_z:1235.35
time:9904382, acc_x:-10.39, acc_y:-32.17, acc_z:1015.39, raw_acc_x:-23.93, raw_acc_y:-104.00, raw_acc_z:1109.86
time:9916010, acc_x:4.48, acc_y:-26.32, acc_z:1000.20, raw_acc_x:63.96, raw_acc_y:-2.93, raw_acc_z:939.45
time:9927112, acc_x:44.70, acc_y:-44.89, acc_z:999.38, raw_acc_x:205.57, raw_acc_y:-119.14, raw_acc_z:996.09
time:9938484, acc_x:39.08, acc_y:-70.19, acc_z:1018.26, raw_acc_x:16.60, raw_acc_y:-171.39, raw_acc_z:1093.75
time:9949936, acc_x:61.15, acc_y:-59.28, acc_z:1016.07, raw_acc_x:149.41, raw_acc_y:-15.63, raw_acc_z:1007.32
time:9961391, acc_x:47.45, acc_y:-67.15, acc_z:998.70, raw_acc_x:-7.32, raw_acc_y:-98.63, raw_acc_z:929.20
time:9972584, acc_x:46.26, acc_y:-95.81, acc_z:1001.10, raw_acc_x:41.50, raw_acc_y:-210.45, raw_acc_z:1010.74
